zone09,subzone09,EDA_FLAG
1069,7971.000000000000000,Y
1069,7970.000000000000000,Y
1068,7968.000000000000000,Y
1068,7969.000000000000000,Y
1069,7973.000000000000000,Y
1069,7972.000000000000000,Y
995,6901.000000000000000,Y
995,6902.000000000000000,Y
995,6903.000000000000000,Y
995,6904.000000000000000,Y
1072,7984.000000000000000,Y
1075,7996.000000000000000,Y
1074,7992.000000000000000,Y
1072,7985.000000000000000,Y
1073,7989.000000000000000,Y
1075,7997.000000000000000,Y
1073,7988.000000000000000,Y
995,6905.000000000000000,Y
995,6906.000000000000000,Y
995,6907.000000000000000,Y
995,6908.000000000000000,Y
996,6921.000000000000000,Y
1072,7986.000000000000000,Y
1072,7987.000000000000000,Y
1074,7995.000000000000000,Y
1075,7998.000000000000000,Y
1074,7994.000000000000000,Y
1073,7991.000000000000000,Y
1073,7990.000000000000000,Y
1075,7999.000000000000000,Y
995,6910.000000000000000,Y
995,6911.000000000000000,Y
995,6909.000000000000000,Y
995,6912.000000000000000,Y
996,6926.000000000000000,Y
996,6925.000000000000000,Y
1076,8000.000000000000000,Y
1076,8001.000000000000000,Y
1077,8004.000000000000000,Y
1077,8005.000000000000000,Y
1078,8008.000000000000000,Y
1078,8009.000000000000000,Y
1078,8010.000000000000000,Y
1078,8011.000000000000000,Y
995,6913.000000000000000,Y
995,6914.000000000000000,Y
995,6915.000000000000000,Y
995,6916.000000000000000,Y
996,6930.000000000000000,Y
996,6929.000000000000000,Y
1076,8002.000000000000000,Y
1076,8003.000000000000000,Y
1077,8006.000000000000000,Y
1077,8007.000000000000000,Y
1078,8012.000000000000000,Y
1078,8013.000000000000000,Y
1078,8014.000000000000000,Y
1078,8015.000000000000000,Y
998,6949.000000000000000,Y
998,6950.000000000000000,Y
998,6951.000000000000000,Y
998,6952.000000000000000,Y
999,6966.000000000000000,Y
999,6965.000000000000000,Y
1034,7547.000000000000000,Y
1034,7548.000000000000000,Y
998,6953.000000000000000,Y
998,6954.000000000000000,Y
998,6955.000000000000000,Y
998,6956.000000000000000,Y
999,6969.000000000000000,Y
999,6970.000000000000000,Y
1034,7549.000000000000000,Y
1034,7550.000000000000000,Y
1034,7551.000000000000000,Y
1034,7552.000000000000000,Y
1079,8018.000000000000000,Y
1079,8019.000000000000000,Y
1080,8023.000000000000000,Y
1081,8026.000000000000000,Y
1081,8027.000000000000000,Y
1080,8022.000000000000000,Y
998,6957.000000000000000,Y
998,6958.000000000000000,Y
998,6959.000000000000000,Y
998,6960.000000000000000,Y
999,6973.000000000000000,Y
999,6975.000000000000000,Y
999,6974.000000000000000,Y
1034,7554.000000000000000,Y
1034,7555.000000000000000,Y
1034,7556.000000000000000,Y
1082,8028.000000000000000,Y
1082,8029.000000000000000,Y
1083,8033.000000000000000,Y
1084,8036.000000000000000,Y
1084,8037.000000000000000,Y
1083,8032.000000000000000,Y
998,6961.000000000000000,Y
998,6962.000000000000000,Y
998,6963.000000000000000,Y
998,6964.000000000000000,Y
999,6977.000000000000000,Y
999,6979.000000000000000,Y
999,6978.000000000000000,Y
1034,7558.000000000000000,Y
1034,7559.000000000000000,Y
1034,7560.000000000000000,Y
1082,8030.000000000000000,Y
1084,8039.000000000000000,Y
1084,8038.000000000000000,Y
1083,8035.000000000000000,Y
1082,8031.000000000000000,Y
1083,8034.000000000000000,Y
1087,8048.000000000000000,Y
1086,8045.000000000000000,Y
1085,8040.000000000000000,Y
1086,8044.000000000000000,Y
1085,8041.000000000000000,Y
1085,8042.000000000000000,Y
1086,8047.000000000000000,Y
1044,7657.000000000000000,Y
976,6614.000000000000000,Y
976,6615.000000000000000,Y
976,6616.000000000000000,Y
1044,7661.000000000000000,Y
976,6618.000000000000000,Y
976,6619.000000000000000,Y
976,6620.000000000000000,Y
1044,7665.000000000000000,Y
1044,7666.000000000000000,Y
976,6622.000000000000000,Y
976,6623.000000000000000,Y
976,6624.000000000000000,Y
1044,7669.000000000000000,Y
1044,7670.000000000000000,Y
1044,7671.000000000000000,Y
1111,8150.000000000000000,Y
1115,8165.000000000000000,Y
1115,8167.000000000000000,Y
1182,9721.000000000000000,Y
1182,9720.000000000000000,Y
1182,9719.000000000000000,Y
334,1289.000000000000000,Y
334,1290.000000000000000,Y
387,1538.000000000000000,Y
388,1541.000000000000000,Y
388,1542.000000000000000,Y
389,1545.000000000000000,Y
